cid,cmpdname
439168,D-Glyceraldehyde 3-Phosphate
439183,3-phospho-D-glyceric acid
439191,3-phospho-D-glyceroyl dihydrogen phosphate
439278,2-Phospho-D-Glyceric Acid
439372,3-Oxo-delta5-steroid
446388,"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2-(hydroxymethyl)-5-(2-hydroxynonyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
446504,N-Hydroxy-2(R)-[[(4-methoxyphenyl)sulfonyl](3-picolyl)amino]-3-methylbutanamide hydrochloride
448002,N-isobutyl-N-(4-methoxyphenylsulfonyl)glycyl hydroxamic acid
448466,"[(2R,3S,4R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl N-ethylsulfamate"
644345,Ac-DEVD-CHO
650361,"1-(2,3-Dihydro-1,4-benzodioxin-6-ylsulfonyl)-4-[(4-methoxyphenyl)sulfonyl]piperazine"
654376,"6-(2-Fluorobenzyl)-2,4-Dimethyl-4,6-Dihydro-5h-Thieno[2',3':4,5]pyrrolo[2,3-D]pyridazin-5-One"
688357,5-Fluoro-L-tryptophan
3006531,"1,4-Diamino-2,3-dicyano-1,4-bis(o-aminophenylmercapto)butadiene"
4478778,2-Amino-3-[hydroxy(propan-2-yloxy)phosphoryl]oxypropanoic acid
5280445,Luteolin
5281647,Mangiferin
5288209,Fenretinide
5288596,SC-74020
9548602,Phosphocreatine
9802436,"(2R,3R,4R,5R)-3,4,5-Trihydroxy-1-(4-phenoxy-benzenesulfonyl)-piperidine-2-carboxylic acid hydroxyamide"
9803963,Endurobol
9808673,N-hydroxy-1-(2-morpholin-4-ylethyl)-4-[4-[4-(trifluoromethyl)phenoxy]phenyl]sulfonylpiperidine-4-carboxamide;hydrochloride
9822926,alpha-Sulfone 21
9852052,Phenyl-propyl-ketone inhibitor
9887870,"(S)-2-(4'-Bromo-[1,1'-biphenyl]-4-ylsulfonamido)-3-methylbutanoic acid"
9910222,"(2R,3R,4R,5S)-N,3,4,5-tetrahydroxy-1-(4-phenoxyphenylsulfonyl)piperidine-2-carboxamide"
9912382,4-Benzylsulfanyl-N-hydroxy-2-[isobutyl-(4-methoxy-benzenesulfonyl)-amino]-butyramide
9918908,2-[[4-(4-Bromophenyl)phenyl]sulfonylamino]-3-methylbutanoic acid
9935032,1-cyclopropyl-N-hydroxy-4-[4-[4-(trifluoromethyl)phenoxy]phenyl]sulfonylpiperidine-4-carboxamide
10089677,Ageladine A
10120093,N-hydroxy-1-(pyridin-3-ylmethyl)-4-[4-[4-(trifluoromethoxy)phenoxy]phenyl]sulfonylpiperidine-4-carboxamide
10324032,"(7S,8R,11S)-7-N-hydroxy-11-N-methyl-9-oxo-8-[2-(4-propylphenyl)ethyl]-2-oxa-10-azabicyclo[11.2.2]heptadeca-1(15),13,16-triene-7,11-dicarboxamide"
10863567,"N-[(2S,3S)-3,4-dihydroxy-1-[4-[4-(trifluoromethoxy)phenoxy]phenyl]sulfonylbutan-2-yl]-N-hydroxyformamide"
10950462,"(3R)-2-[ethoxy-(4-phenoxyphenyl)phosphoryl]-N-hydroxy-3,4-dihydro-1H-isoquinoline-3-carboxamide"
11113401,"(3R)-2-[[4-(4-aminophenoxy)phenyl]-ethoxyphosphoryl]-N-hydroxy-3,4-dihydro-1H-isoquinoline-3-carboxamide"
11292680,(2R)-N-hydroxy-3-methyl-2-[(4-phenylphenyl)sulfonyl-propan-2-yloxyamino]butanamide
11395145,Indeglitazar
15871222,4-(benzylthio)-N-hydroxy-2-(N-isobutyl-4-methoxyphenylsulfonamido)butanamide
16682983,p-Aminophenylmercuric acetate
19420248,Hydride;phosphate
20735191,1-(2-ethoxyethyl)-N-hydroxy-4-[4-[4-(trifluoromethoxy)phenoxy]phenyl]sulfonylpiperidine-4-carboxamide
22485260,N-hydroxy-4-[4-(4-methylsulfanylphenoxy)phenyl]sulfonyloxane-4-carboxamide
22485289,"4-[4-(1,3-benzodioxol-5-yloxy)phenyl]sulfonyl-1-cyclopropyl-N-hydroxypiperidine-4-carboxamide"
22485291,N-hydroxy-4-[4-(4-propan-2-yloxyphenoxy)phenyl]sulfonyloxane-4-carboxamide
22485302,1-cyclopropyl-4-[4-(4-ethoxyphenoxy)phenyl]sulfonyl-N-hydroxypiperidine-4-carboxamide
22485311,N-hydroxy-4-[4-(4-propan-2-ylphenoxy)phenyl]sulfonyl-1-prop-2-ynylpiperidine-4-carboxamide
22485313,N-hydroxy-1-(2-methoxyethyl)-4-[4-(4-propan-2-ylphenoxy)phenyl]sulfonylpiperidine-4-carboxamide;hydrochloride
22485346,N-hydroxy-4-[4-(4-phenylphenoxy)phenyl]sulfonyloxane-4-carboxamide
22485367,N-hydroxy-4-[4-(4-hydroxyphenoxy)phenyl]sulfonyloxane-4-carboxamide
22707806,1-acetyl-N-hydroxy-4-[4-[4-(trifluoromethoxy)phenoxy]phenyl]sulfonylpiperidine-4-carboxamide
24836820,10-Nitrooleic acid
24847767,"(3S,4R,6R)-3-[[(2R,4R,5S)-3-acetamido-4-[[(2R,4R,5S)-6-carboxy-3,4,5-trihydroxyoxan-2-yl]oxymethyl]-5-hydroxy-6-(hydroxymethyl)oxan-2-yl]methoxymethyl]-6-[[(2R,4R,5S)-3-acetamido-2,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]methoxy]-4,5-dihydroxy-5-methyloxane-2-carboxylic acid"
24901472,"Biphenylsulfonamide carboxylate, 2"
24936382,"2-{[1,1'-Biphenyl]-4-sulfonamido}-3-methylbutanoic acid"
25210493,"1-[(2,6-Difluorophenyl)sulfonyl]-4-(2,3-dihydro-1,4-benzodioxin-6-ylsulfonyl)piperazine"
44314322,"N-{2,3-Dihydroxy-1-[4-(4-trifluoromethoxy-phenoxy)-benzenesulfonylmethyl]-propyl}-N-hydroxy-formamide"
44364119,"N,6-dihydroxy-2-(4-nitrophenylsulfonyl)-1,2,3,4-tetrahydroisoquinoline-1-carboxamide"
44389319,(S)-3-(2-{5-tert-Butyl-3-[(4-methyl-furazan-3-ylmethyl)-amino]-2-oxo-2H-pyrazin-1-yl}-butyrylamino)-4-oxo-5-[(piperidin-1-ylmethyl)-amino]-pentanoic acid
44389324,(S)-5-Benzylsulfanyl-3-{(S)-2-[2-(5-methanesulfonyl-2-methoxy-phenyl)-acetylamino]-3-methyl-butyrylamino}-4-oxo-pentanoic acid
44398986,"(3R)-2-[[4-(4-aminophenoxy)phenyl]-ethoxyphosphoryl]-N-hydroxy-3,4-dihydro-1H-isoquinoline-3-carboxamide"
44399044,"(3R)-2-[ethoxy-(4-phenoxyphenyl)phosphoryl]-N-hydroxy-3,4-dihydro-1H-isoquinoline-3-carboxamide"
46938726,N-hydroxy-1-prop-2-ynyl-4-[4-[4-(trifluoromethoxy)phenoxy]phenyl]sulfonylpiperidine-4-carboxamide
46938727,N-hydroxy-1-methyl-4-[4-[4-(trifluoromethoxy)phenoxy]phenyl]sulfonylpiperidine-4-carboxamide
46938728,N-hydroxy-1-propan-2-yl-4-[4-[4-(trifluoromethoxy)phenoxy]phenyl]sulfonylpiperidine-4-carboxamide
