DrugID	Drug_Target
CIDm00000051	3418
CIDm00000051	3420
CIDm00000051	129450
CIDm00000051	4967
CIDm00000051	84266
CIDm00000051	2875
CIDm00000051	3421
CIDm00000051	9682
CIDm00000051	587
CIDm00000051	50
CIDm00000051	7852
CIDm00000051	112398
CIDm00000051	91801
CIDm00000051	54890
CIDm00000051	22992
CIDm00000051	5091
CIDm00000051	55753
CIDm00000051	10157
CIDm00000051	1743
CIDm00000051	846
CIDm00000051	29968
CIDm00000051	10864
CIDm00000051	3419
CIDm00000051	8424
CIDm00000051	23135
CIDm00000051	121642
CIDm00000051	55217
CIDm00000051	5105
CIDm00000051	54583
CIDm00000051	6898
CIDm00000051	6921
CIDm00000051	108
CIDm00000051	586
CIDm00000051	64902
CIDm00000051	8604
CIDm00000051	56670
CIDm00000051	4942
CIDm00000051	221120
CIDm00000051	3091
CIDm00000051	3417
CIDm00000051	6387
CIDm00000051	8846
CIDm00000051	5030
CIDm00000051	9356
CIDm00000051	23210
CIDm00000051	1629
CIDm00000051	6470
CIDm00000051	2852
CIDm00000051	9376
CIDm00000051	2034
CIDm00000051	115
CIDm00000051	111
CIDm00000051	2806
CIDm00000051	2805
CIDm00000051	84706
CIDm00000051	54784
CIDm00000051	112399
CIDm00000051	5034
CIDm00000051	84678
CIDm00000051	3242
CIDm00000051	55662
CIDm00000051	26227
CIDm00000051	4190
CIDm00000051	8801
CIDm00000051	18
CIDm00000051	23530
CIDm00000051	8802
CIDm00000051	728294
CIDm00000051	7428
CIDm00000051	55526
CIDm00000051	5053
CIDm00000051	10165
CIDm00000051	2747
CIDm00000051	196883
CIDm00000051	9978
CIDm00000051	107
CIDm00000051	113
CIDm00000051	114
CIDm00000051	109
CIDm00000051	1738
CIDm00000051	26061
CIDm00000051	2746
CIDm00000051	137872
CIDm00000051	5723
CIDm00000051	8402
CIDm00000051	593
CIDm00000051	594
CIDm00000051	51166
CIDm00000051	6996
CIDm00000051	5264
CIDm00000051	137362
CIDm00000051	27199
CIDm00000051	79944
CIDm00000052	1962
CIDm00000052	3033
CIDm00000052	3028
CIDm00000052	3030
CIDm00000052	1892
CIDm00000053	30
CIDm00000053	38
CIDm00000053	10449
CIDm00000054	27034
CIDm00000054	1738
CIDm00000054	36
CIDm00000054	35
CIDm00000054	594
CIDm00000054	1629
CIDm00000054	3712
CIDm00000054	34
CIDm00000054	587
CIDm00000054	593
CIDm00000058	102724560
CIDm00000058	875
CIDm00000058	1491
CIDm00000058	113675
CIDm00000058	594
CIDm00000058	10993
CIDm00000058	1629
CIDm00000058	593
CIDm00000059	2023
CIDm00000059	5230
CIDm00000059	5223
CIDm00000059	2026
CIDm00000059	441531
CIDm00000059	5105
CIDm00000059	9562
CIDm00000059	669
CIDm00000059	132158
CIDm00000059	2027
CIDm00000059	5224
CIDm00000061	22978
CIDm00000061	669
CIDm00000061	5224
CIDm00000061	5223
CIDm00000061	9562
CIDm00000070	593
CIDm00000070	594
CIDm00000070	1738
CIDm00000070	3242
CIDm00000070	586
CIDm00000070	587
CIDm00000070	27034
CIDm00000070	1629
CIDm00000071	51166
CIDm00000071	89874
CIDm00000071	55753
CIDm00000071	2639
CIDm00000071	4967
CIDm00000071	501
CIDm00000072	1312
CIDm00000073	6783
CIDm00000073	9955
CIDm00000073	6820
CIDm00000073	54928
CIDm00000073	8459
CIDm00000073	2194
CIDm00000073	27284
CIDm00000073	6036
CIDm00000073	10090
CIDm00000073	10380
CIDm00000073	6817
CIDm00000073	222537
CIDm00000073	9514
CIDm00000073	8460
CIDm00000073	3340
CIDm00000073	6822
CIDm00000073	6799
CIDm00000073	9957
CIDm00000073	9469
CIDm00000073	6035
CIDm00000073	442038
CIDm00000074	65985
CIDm00000074	39
CIDm00000074	3158
CIDm00000074	622
CIDm00000074	3032
CIDm00000074	38
CIDm00000074	3157
CIDm00000074	1962
CIDm00000074	35
CIDm00000074	3155
CIDm00000074	30
CIDm00000074	5019
CIDm00000074	1892
CIDm00000074	3033
CIDm00000074	64064
CIDm00000075	220
CIDm00000075	219
CIDm00000075	224
CIDm00000075	501
CIDm00000075	218
CIDm00000075	223
CIDm00000075	222
CIDm00000075	8639
CIDm00000075	54498
CIDm00000076	1577
CIDm00000076	3292
CIDm00000076	3283
CIDm00000076	1543
CIDm00000076	1544
CIDm00000076	3284
CIDm00000076	412
CIDm00000076	2099
CIDm00000076	3479
CIDm00000076	4846
CIDm00000076	1576
CIDm00000076	3293
CIDm00000076	5443
CIDm00000076	6783
CIDm00000076	6822
CIDm00000076	1586
CIDm00000076	1581
CIDm00000076	2539
CIDm00000076	1571
CIDm00000076	1551
CIDm00000076	6820
CIDm00000084	4598
CIDm00000084	38
CIDm00000084	3158
CIDm00000084	3157
CIDm00000084	3155
CIDm00000084	549
CIDm00000084	3156
CIDm00000084	56922
CIDm00000085	1375
CIDm00000085	6583
CIDm00000085	126129
CIDm00000085	788
CIDm00000085	223
CIDm00000085	85413
CIDm00000085	6584
CIDm00000085	1384
CIDm00000085	8424
CIDm00000085	1376
CIDm00000085	30
CIDm00000085	1374
CIDm00000085	54677
CIDm00000086	8942
CIDm00000086	847
CIDm00000086	8564
CIDm00000086	23498
CIDm00000086	130013
CIDm00000087	26275
CIDm00000087	3033
CIDm00000087	4329
CIDm00000087	11112
CIDm00000087	1962
CIDm00000088	11112
CIDm00000088	1962
CIDm00000088	27034
CIDm00000088	1892
CIDm00000088	26275
CIDm00000089	883
CIDm00000089	125061
CIDm00000089	8942
CIDm00000089	8564
CIDm00000089	56267
CIDm00000089	23498
CIDm00000089	51166
CIDm00000090	1892
CIDm00000092	1576
CIDm00000096	2954
CIDm00000096	2184
CIDm00000096	5019
CIDm00000096	64064
CIDm00000096	3158
CIDm00000098	3945
CIDm00000098	2806
CIDm00000098	3948
CIDm00000098	7263
CIDm00000098	2805
CIDm00000099	1892
CIDm00000099	34
CIDm00000099	1962
CIDm00000099	3712
CIDm00000099	64087
CIDm00000099	56922
CIDm00000099	593
CIDm00000099	549
CIDm00000099	3030
CIDm00000099	594
CIDm00000105	29968
CIDm00000105	26227
CIDm00000105	5723
CIDm00000106	2914
CIDm00000106	7534
CIDm00000106	4087
CIDm00000106	5723
CIDm00000106	5575
CIDm00000106	5588
CIDm00000106	55294
CIDm00000106	5292
CIDm00000106	7533
CIDm00000106	29968
CIDm00000106	10971
CIDm00000106	6317
CIDm00000106	1080
CIDm00000106	2810
CIDm00000106	7532
CIDm00000106	9344
CIDm00000106	7531
CIDm00000106	5837
CIDm00000106	5836
CIDm00000106	5170
CIDm00000106	5566
CIDm00000109	64146
CIDm00000109	7001
CIDm00000109	2936
CIDm00000109	3158
CIDm00000109	2806
CIDm00000109	54995
CIDm00000109	2805
CIDm00000109	1036
CIDm00000109	10914
CIDm00000110	2805
CIDm00000111	1809
CIDm00000111	10570
CIDm00000111	1807
CIDm00000111	1806
CIDm00000111	1400
CIDm00000111	1808
CIDm00000111	56896
CIDm00000111	51733
CIDm00000112	29968
CIDm00000118	26
CIDm00000118	219
CIDm00000118	501
CIDm00000118	224
CIDm00000118	223
CIDm00000119	6755
CIDm00000119	140679
CIDm00000119	6754
CIDm00000119	2628
CIDm00000119	3351
CIDm00000119	2563
CIDm00000119	2570
CIDm00000119	6751
CIDm00000119	351
CIDm00000119	10243
CIDm00000119	2918
CIDm00000119	501
CIDm00000119	846
CIDm00000119	6539
CIDm00000119	6540
CIDm00000119	1759
CIDm00000119	2550
CIDm00000119	2568
CIDm00000119	1814
CIDm00000119	3350
CIDm00000119	1813
CIDm00000119	6538
CIDm00000119	5179
CIDm00000119	2566
CIDm00000119	2773
CIDm00000119	4986
CIDm00000119	5697
CIDm00000119	5726
CIDm00000119	9568
CIDm00000119	5367
CIDm00000119	2561
CIDm00000119	2560
CIDm00000119	2914
CIDm00000119	2562
CIDm00000119	2564
CIDm00000119	2554
CIDm00000119	2565
CIDm00000119	6373
CIDm00000119	6387
CIDm00000119	2917
CIDm00000119	2557
CIDm00000119	2559
CIDm00000119	134
CIDm00000119	2852
CIDm00000119	10636
CIDm00000119	57571
CIDm00000119	84735
CIDm00000119	2569
CIDm00000119	55748
CIDm00000119	6844
CIDm00000119	4886
CIDm00000119	6366
CIDm00000119	2567
CIDm00000119	5539
CIDm00000119	1815
CIDm00000119	5443
CIDm00000119	6750
CIDm00000119	1129
CIDm00000119	2571
CIDm00000119	5368
CIDm00000119	6363
CIDm00000119	51083
CIDm00000119	2572
CIDm00000119	6529
CIDm00000119	2771
CIDm00000119	18
CIDm00000119	6857
CIDm00000119	108
CIDm00000119	183
CIDm00000119	4852
CIDm00000119	219
CIDm00000119	2558
CIDm00000119	2770
CIDm00000119	3355
CIDm00000119	224
CIDm00000119	5999
CIDm00000119	5173
CIDm00000119	6616
CIDm00000119	2555
CIDm00000119	1268
CIDm00000119	2913
CIDm00000119	346562
CIDm00000119	4987
CIDm00000119	4988
CIDm00000119	2912
CIDm00000119	56923
CIDm00000119	223
CIDm00000120	134147
CIDm00000122	3081
CIDm00000122	3242
CIDm00000122	2184
CIDm00000122	2954
CIDm00000126	7915
CIDm00000128	131669
CIDm00000128	3034
CIDm00000129	231
CIDm00000129	1583
CIDm00000131	79646
CIDm00000131	80025
CIDm00000131	79717
CIDm00000131	55229
CIDm00000131	60490
CIDm00000131	53354
CIDm00000132	55229
CIDm00000132	79646
CIDm00000132	80347
CIDm00000132	60490
CIDm00000132	79717
CIDm00000132	53354
CIDm00000132	80025
CIDm00000133	55217
CIDm00000133	8424
CIDm00000133	223
CIDm00000134	8424
CIDm00000134	219
CIDm00000134	223
CIDm00000135	23590
CIDm00000135	57107
CIDm00000135	27235
CIDm00000135	51004
CIDm00000136	100528021
CIDm00000136	10841
CIDm00000136	4522
CIDm00000136	441024
CIDm00000136	10797
CIDm00000136	275
CIDm00000136	10588
CIDm00000136	2618
CIDm00000137	210
CIDm00000137	211
CIDm00000137	2235
CIDm00000138	2628
CIDm00000138	210
CIDm00000139	1581
CIDm00000139	1593
CIDm00000139	120227
CIDm00000140	1593
CIDm00000143	2356
CIDm00000143	1719
CIDm00000143	275
CIDm00000143	4524
CIDm00000143	100528021
CIDm00000143	10841
CIDm00000143	7298
CIDm00000143	6573
CIDm00000143	10588
CIDm00000144	3620
CIDm00000144	121278
CIDm00000144	7166
CIDm00000144	169355
CIDm00000144	1644
CIDm00000144	15
CIDm00000146	4548
CIDm00000146	275
CIDm00000146	27232
CIDm00000146	4552
CIDm00000146	107080644
CIDm00000146	6573
CIDm00000146	4524
CIDm00000149	6723
CIDm00000149	6611
CIDm00000149	4953
CIDm00000149	55039
CIDm00000149	84245
CIDm00000149	262
CIDm00000149	4860
CIDm00000150	2618
CIDm00000150	5471
CIDm00000151	5198
CIDm00000151	2618
CIDm00000152	5198
CIDm00000152	2618
CIDm00000152	5471
CIDm00000153	2618
CIDm00000153	10606
CIDm00000153	5198
CIDm00000154	5198
CIDm00000154	2618
CIDm00000154	10606
CIDm00000156	5860
CIDm00000158	2693
CIDm00000158	2919
CIDm00000158	6374
CIDm00000158	2641
CIDm00000158	4852
CIDm00000158	5742
CIDm00000158	133
CIDm00000158	134864
CIDm00000158	4987
CIDm00000158	301
CIDm00000158	3558
CIDm00000158	5744
CIDm00000158	3355
CIDm00000158	5179
CIDm00000158	6578
CIDm00000158	154
CIDm00000158	146
CIDm00000158	5368
CIDm00000158	387129
CIDm00000158	1236
CIDm00000158	5031
CIDm00000158	9536
CIDm00000158	1230
CIDm00000158	186
CIDm00000158	5734
CIDm00000158	1814
CIDm00000158	1815
CIDm00000158	4318
CIDm00000158	6366
CIDm00000158	3361
CIDm00000158	6343
CIDm00000158	5021
CIDm00000158	6373
CIDm00000158	7432
CIDm00000158	4283
CIDm00000158	554
CIDm00000158	4887
CIDm00000158	11255
CIDm00000158	11251
CIDm00000158	796
CIDm00000158	2520
CIDm00000158	57413
CIDm00000158	2847
CIDm00000158	1499
CIDm00000158	1906
CIDm00000158	1908
CIDm00000158	1813
CIDm00000158	4829
CIDm00000158	10563
CIDm00000158	58191
CIDm00000158	80142
CIDm00000158	7201
CIDm00000158	594857
CIDm00000158	10728
CIDm00000158	5173
CIDm00000158	187
CIDm00000158	23620
CIDm00000158	84539
CIDm00000158	1268
CIDm00000158	1128
CIDm00000158	4158
CIDm00000158	2796
CIDm00000158	1910
CIDm00000158	5290
CIDm00000158	2922
CIDm00000158	2587
CIDm00000158	7124
CIDm00000158	2925
CIDm00000158	156
CIDm00000158	1392
CIDm00000158	4986
CIDm00000158	136
CIDm00000158	8811
CIDm00000158	1234
CIDm00000158	1131
CIDm00000158	6363
CIDm00000158	10800
CIDm00000158	2862
CIDm00000158	7852
CIDm00000158	183
CIDm00000158	2920
CIDm00000158	4988
CIDm00000158	3363
CIDm00000158	8477
CIDm00000158	51289
CIDm00000158	5737
CIDm00000158	134
CIDm00000158	2492
CIDm00000158	1269
CIDm00000158	153
CIDm00000158	59340
CIDm00000158	718
CIDm00000158	3274
CIDm00000158	3569
CIDm00000158	150
CIDm00000158	5743
CIDm00000158	155
CIDm00000158	6750
CIDm00000158	4160
CIDm00000158	1232
CIDm00000158	4985
CIDm00000158	4889
CIDm00000158	2852
CIDm00000158	5732
CIDm00000158	5540
CIDm00000158	3579
CIDm00000158	94233
CIDm00000158	6387
CIDm00000158	152
CIDm00000158	6364
CIDm00000158	5745
CIDm00000158	5028
CIDm00000158	3350
CIDm00000158	5020
CIDm00000158	4886
CIDm00000158	23566
CIDm00000158	5731
CIDm00000158	2837
CIDm00000158	887
CIDm00000158	10803
CIDm00000158	6863
CIDm00000158	56923
CIDm00000158	1902
CIDm00000158	3553
CIDm00000158	10887
CIDm00000158	3357
CIDm00000158	6869
CIDm00000158	339403
CIDm00000158	3627
CIDm00000158	2833
CIDm00000158	84634
CIDm00000158	1816
CIDm00000158	111
CIDm00000158	2832
CIDm00000158	1233
CIDm00000158	10886
CIDm00000158	552
CIDm00000158	5741
CIDm00000158	148
CIDm00000158	64106
CIDm00000158	64805
CIDm00000158	185
CIDm00000158	3354
CIDm00000158	27199
CIDm00000158	112
CIDm00000158	3248
CIDm00000158	27306
CIDm00000158	108
CIDm00000158	3358
CIDm00000158	885
CIDm00000158	5029
CIDm00000158	6754
CIDm00000158	10316
CIDm00000158	128674
CIDm00000158	4923
CIDm00000158	3061
CIDm00000158	3351
CIDm00000158	5733
CIDm00000158	623
CIDm00000158	351
CIDm00000158	6915
CIDm00000158	836
CIDm00000158	5443
CIDm00000158	56413
CIDm00000158	1907
CIDm00000158	1909
CIDm00000158	3973
CIDm00000158	4157
CIDm00000158	147
CIDm00000158	4159
CIDm00000158	6752
CIDm00000158	6755
CIDm00000158	2798
CIDm00000158	2150
CIDm00000158	3062
CIDm00000158	135
CIDm00000158	886
CIDm00000158	122042
CIDm00000158	5473
CIDm00000158	57007
CIDm00000158	3360
CIDm00000158	4161
CIDm00000158	5729
CIDm00000158	10663
CIDm00000158	3362
CIDm00000158	5739
CIDm00000158	8484
CIDm00000158	84109
CIDm00000158	551
CIDm00000158	3576
CIDm00000158	1241
CIDm00000158	9170
CIDm00000158	6751
CIDm00000159	5740
CIDm00000159	135
CIDm00000159	551
CIDm00000159	5741
CIDm00000159	6915
CIDm00000159	2641
CIDm00000159	108
CIDm00000159	133
CIDm00000159	3363
CIDm00000159	5742
CIDm00000159	104909134
CIDm00000159	1394
CIDm00000159	117
CIDm00000159	5739
CIDm00000159	5732
CIDm00000159	5729
CIDm00000159	5734
CIDm00000159	136
CIDm00000159	5743
CIDm00000159	1395
CIDm00000159	59350
CIDm00000159	4159
CIDm00000159	7432
CIDm00000159	2492
CIDm00000160	2828
CIDm00000160	5020
CIDm00000160	3062
CIDm00000160	156
CIDm00000160	5290
CIDm00000160	6869
CIDm00000160	5330
CIDm00000160	4922
CIDm00000160	6288
CIDm00000160	2837
CIDm00000160	5997
CIDm00000160	8111
CIDm00000160	56923
CIDm00000160	2796
CIDm00000160	3357
CIDm00000160	84109
CIDm00000160	1909
CIDm00000160	4829
CIDm00000160	9536
CIDm00000160	5737
CIDm00000160	27306
CIDm00000160	7201
CIDm00000160	5021
CIDm00000160	23236
CIDm00000160	594857
CIDm00000160	5731
CIDm00000160	2798
CIDm00000160	873
CIDm00000160	183
CIDm00000160	2922
CIDm00000160	10886
CIDm00000160	5734
CIDm00000160	5733
CIDm00000160	64106
CIDm00000160	387129
CIDm00000160	185
CIDm00000160	23620
CIDm00000160	3358
CIDm00000160	2925
CIDm00000160	10316
CIDm00000160	5739
CIDm00000160	94233
CIDm00000160	56413
CIDm00000160	2862
CIDm00000160	885
CIDm00000160	5028
CIDm00000160	2797
CIDm00000160	1908
CIDm00000160	3248
CIDm00000160	8477
CIDm00000160	146
CIDm00000160	1910
CIDm00000160	84539
CIDm00000160	5729
CIDm00000160	9170
CIDm00000160	147
CIDm00000160	1906
CIDm00000160	2641
CIDm00000160	2149
CIDm00000160	148
CIDm00000160	5732
CIDm00000160	1131
CIDm00000160	552
CIDm00000160	10800
CIDm00000160	11251
CIDm00000160	22949
CIDm00000160	23566
CIDm00000160	3600
CIDm00000160	5743
CIDm00000160	301
CIDm00000160	5972
CIDm00000160	5331
CIDm00000160	128674
CIDm00000160	886
CIDm00000160	2520
CIDm00000160	3061
CIDm00000160	1902
CIDm00000160	887
CIDm00000160	6863
CIDm00000160	2693
CIDm00000160	5742
CIDm00000160	623
CIDm00000160	1241
CIDm00000160	10887
CIDm00000160	6578
CIDm00000160	551
CIDm00000160	84634
CIDm00000160	6915
CIDm00000160	1907
CIDm00000160	57105
CIDm00000160	4923
CIDm00000160	2847
CIDm00000160	351
CIDm00000169	1241
CIDm00000169	5028
CIDm00000169	594857
CIDm00000169	22949
CIDm00000169	56413
CIDm00000169	4829
CIDm00000169	2925
CIDm00000169	10800
CIDm00000169	4051
CIDm00000169	5020
CIDm00000169	2358
CIDm00000169	5031
CIDm00000169	241
CIDm00000169	5029
CIDm00000169	6915
CIDm00000169	6863
CIDm00000169	301
CIDm00000169	4056
CIDm00000169	2869
CIDm00000169	5731
CIDm00000169	8529
CIDm00000169	4048
CIDm00000169	57105
CIDm00000169	240
CIDm00000170	2356
CIDm00000171	81890
CIDm00000171	79691
CIDm00000172	1581
CIDm00000172	2638
CIDm00000172	1717
CIDm00000172	1718
CIDm00000172	6309
CIDm00000174	5209
CIDm00000174	5105
CIDm00000174	127
CIDm00000174	805
CIDm00000174	26330
CIDm00000174	3074
CIDm00000174	11315
CIDm00000174	2053
CIDm00000174	10606
CIDm00000174	8424
CIDm00000174	5429
CIDm00000174	2582
CIDm00000174	10020
CIDm00000174	8192
CIDm00000174	847
CIDm00000174	7372
CIDm00000174	246243
CIDm00000174	2224
CIDm00000174	91875
CIDm00000174	8224
CIDm00000174	112817
CIDm00000174	4144
CIDm00000174	213
CIDm00000175	219
CIDm00000175	128674
CIDm00000175	7295
CIDm00000175	91703
CIDm00000175	5290
CIDm00000175	23371
CIDm00000175	374569
CIDm00000175	8644
CIDm00000175	222
CIDm00000175	886
CIDm00000175	3251
CIDm00000175	3061
CIDm00000175	7204
CIDm00000175	6915
CIDm00000175	218
CIDm00000175	171425
CIDm00000175	84109
CIDm00000175	5330
CIDm00000175	6566
CIDm00000175	10316
CIDm00000175	2776
CIDm00000175	10887
CIDm00000175	84634
CIDm00000175	7200
CIDm00000175	5319
CIDm00000175	7086
CIDm00000175	121506
CIDm00000175	4521
CIDm00000175	23566
CIDm00000175	4953
CIDm00000175	4048
CIDm00000175	5198
CIDm00000175	594857
CIDm00000175	18
CIDm00000175	4351
CIDm00000175	94233
CIDm00000175	4846
CIDm00000175	5049
CIDm00000175	7201
CIDm00000175	100526760
CIDm00000175	54805
CIDm00000175	7270
CIDm00000175	79685
CIDm00000175	2922
CIDm00000175	2769
CIDm00000175	8477
CIDm00000175	847
CIDm00000175	23620
CIDm00000175	5331
CIDm00000175	2641
CIDm00000175	301
CIDm00000175	4842
CIDm00000175	9314
CIDm00000175	54933
CIDm00000175	9170
CIDm00000175	387129
CIDm00000175	5034
CIDm00000175	23539
CIDm00000175	8819
CIDm00000175	1786
CIDm00000175	1909
CIDm00000175	6647
CIDm00000175	1902
CIDm00000175	183
CIDm00000175	5048
CIDm00000175	6863
CIDm00000175	2131
CIDm00000175	2520
CIDm00000175	375790
CIDm00000175	3339
CIDm00000175	7389
CIDm00000175	6382
CIDm00000175	147
CIDm00000175	84539
CIDm00000175	2100
CIDm00000175	887
CIDm00000175	1789
CIDm00000175	3357
CIDm00000175	5444
CIDm00000175	1910
CIDm00000175	6288
CIDm00000175	223
CIDm00000175	9487
CIDm00000175	5770
CIDm00000175	501
CIDm00000175	64106
CIDm00000175	185
CIDm00000175	2837
CIDm00000175	9672
CIDm00000175	224
CIDm00000175	8997
CIDm00000175	7372
CIDm00000175	3066
CIDm00000175	1806
CIDm00000175	2161
CIDm00000175	2098
CIDm00000175	10020
CIDm00000175	552
CIDm00000175	3816
CIDm00000175	148
CIDm00000175	590
CIDm00000175	1906
CIDm00000175	25942
CIDm00000175	55902
CIDm00000175	146
CIDm00000175	84532
CIDm00000175	216
CIDm00000175	2847
CIDm00000175	6383
CIDm00000175	6385
CIDm00000175	2796
CIDm00000175	1357
CIDm00000175	217
CIDm00000175	8467
CIDm00000175	10886
CIDm00000175	5972
CIDm00000175	3358
CIDm00000175	5731
CIDm00000175	9630
CIDm00000175	1990
CIDm00000175	2867
CIDm00000175	2339
CIDm00000175	1636
CIDm00000175	5445
CIDm00000175	2862
CIDm00000175	2865
CIDm00000175	9451
CIDm00000175	5340
CIDm00000175	43
CIDm00000175	2798
CIDm00000175	760
CIDm00000175	56413
CIDm00000175	2925
CIDm00000175	3065
CIDm00000175	10606
CIDm00000175	3062
CIDm00000175	4922
CIDm00000175	3717
CIDm00000175	220
CIDm00000175	56923
CIDm00000175	2693
CIDm00000175	1241
CIDm00000175	4829
CIDm00000175	885
CIDm00000175	1723
CIDm00000175	5021
CIDm00000175	623
CIDm00000175	23236
CIDm00000175	5737
CIDm00000175	6303
CIDm00000175	4295
CIDm00000175	1854
CIDm00000175	5028
CIDm00000175	4923
CIDm00000175	4353
CIDm00000175	79611
CIDm00000175	213
CIDm00000175	2911
CIDm00000175	5050
CIDm00000175	5105
CIDm00000175	7941
CIDm00000175	2767
CIDm00000175	7157
CIDm00000175	443
CIDm00000175	5020
CIDm00000175	551
CIDm00000175	351
CIDm00000177	220
CIDm00000177	125
CIDm00000177	51071
CIDm00000177	64850
CIDm00000177	55902
CIDm00000177	255738
CIDm00000177	130
CIDm00000177	131
CIDm00000177	84532
CIDm00000177	124
CIDm00000177	501
CIDm00000177	127
CIDm00000177	217
CIDm00000177	223
CIDm00000177	219
CIDm00000177	5770
CIDm00000177	805
CIDm00000177	1081
CIDm00000177	5468
CIDm00000177	3725
CIDm00000177	213
CIDm00000177	10327
CIDm00000177	1571
CIDm00000177	54498
CIDm00000177	4792
CIDm00000177	836
CIDm00000177	2870
CIDm00000177	847
CIDm00000177	7177
CIDm00000177	5599
CIDm00000177	6472
CIDm00000177	5443
CIDm00000177	2999
CIDm00000177	3002
CIDm00000177	1586
CIDm00000177	3249
CIDm00000177	128
CIDm00000177	4170
CIDm00000177	222
CIDm00000177	216
CIDm00000177	3004
CIDm00000177	224
CIDm00000177	3083
CIDm00000177	4194
CIDm00000177	218
CIDm00000177	25818
CIDm00000177	574406
CIDm00000180	125
CIDm00000181	84148
CIDm00000181	60482
CIDm00000181	253175
CIDm00000181	2673
CIDm00000181	3030
CIDm00000181	8260
CIDm00000181	3066
CIDm00000181	54947
CIDm00000181	23522
CIDm00000181	3337
CIDm00000181	8850
CIDm00000181	3158
CIDm00000181	138050
CIDm00000181	84779
CIDm00000181	1431
CIDm00000181	5238
CIDm00000181	1103
CIDm00000181	7994
CIDm00000181	8520
CIDm00000181	1738
CIDm00000181	203611
CIDm00000181	80155
CIDm00000181	4329
CIDm00000181	3157
CIDm00000181	217
CIDm00000181	6908
CIDm00000181	3304
CIDm00000181	9197
CIDm00000181	50
CIDm00000181	39
CIDm00000181	6576
CIDm00000181	3155
CIDm00000181	80347
CIDm00000181	11143
CIDm00000181	6448
CIDm00000181	32
CIDm00000181	6303
CIDm00000181	5161
CIDm00000181	38
CIDm00000181	10005
CIDm00000181	79611
CIDm00000181	5096
CIDm00000181	1644
CIDm00000181	15
CIDm00000181	3033
CIDm00000181	84532
CIDm00000181	55902
CIDm00000181	34
CIDm00000181	10449
CIDm00000181	33
CIDm00000181	64841
CIDm00000181	5095
CIDm00000181	5106
CIDm00000181	23417
CIDm00000181	1387
CIDm00000181	2033
CIDm00000181	65985
CIDm00000181	1384
CIDm00000181	54677
CIDm00000181	218
CIDm00000181	222
CIDm00000181	219
CIDm00000181	339287
CIDm00000181	54511
CIDm00000181	84289
CIDm00000181	54556
CIDm00000181	2648
CIDm00000181	3065
CIDm00000181	4669
CIDm00000181	9945
CIDm00000181	9
CIDm00000181	3032
CIDm00000181	30
CIDm00000181	162417
CIDm00000181	2194
CIDm00000181	216
CIDm00000181	1629
CIDm00000181	1632
CIDm00000181	1737
CIDm00000181	8473
CIDm00000181	2806
CIDm00000181	3312
CIDm00000181	10
CIDm00000181	79888
CIDm00000181	5162
CIDm00000181	871
CIDm00000181	3303
CIDm00000181	47
CIDm00000181	622
CIDm00000181	1373
CIDm00000181	2288
CIDm00000181	8050
CIDm00000181	5019
CIDm00000181	112483
CIDm00000181	10524
CIDm00000181	3310
CIDm00000181	10049
CIDm00000184	175
CIDm00000185	1373
CIDm00000185	5009
CIDm00000185	162417
CIDm00000187	4985
CIDm00000187	5443
CIDm00000187	134
CIDm00000187	5733
CIDm00000187	8484
CIDm00000187	6865
CIDm00000187	5737
CIDm00000187	4846
CIDm00000187	56413
